animal_id,found_location
A675319,Wolf Ln And 71 in Travis (TX)
A705868,22009 Hogeye Rd in Austin (TX)
A675509,14400 Harris Ridge Blvd in Travis (TX)
A759775,1620 Old Lockhart Road in Travis (TX)
A671864,Park At The Woodlands Dr & Quick Stream in Austin (TX)
A675255,5201 Ross Rd in Del Valle (TX)
A702056,Turnstone And Pleasant Valley in Austin (TX)
A689474,Hwy 183 And Duval Rd in Austin (TX)
A718538,1601 Miriam Ave in Austin (TX)
A738277,4411 Whispering Valley in Austin (TX)
A738506,Pflugerville (TX)
A764599,10506 Barr Ln in Travis (TX)
A753509,133 West Saint Elmo Road in Austin (TX)
A721336,6500 E William Cannon Dr in Austin (TX)
A669310,6808 Montana St in Austin (TX)
A735630,12508 Esplanade St in Austin (TX)
A698351,Austin (TX)
A590330,14707 Noya Dr in Travis (TX)
A695626,E Riverside Dr & S Pleasant Valley Rd in Austin (TX)
A672187,Austin (TX)
A704396,Netleaf Rd And Mossycup Ln in Austin (TX)
A756356,Austin (TX)
A733333,116 E Parsons St in Austin (TX)
A559953,1414 Gorham Street in Austin (TX)
A734095,19304 Black Manor Rd in Travis (TX)
A692585,1803 E Anderson Ln in Austin (TX)
A761350,5404 China Berry in Austin (TX)
A728737,5906 Melody Ln in Austin (TX)
A764057,11215 Research Boulevard in Austin (TX)
A752326,9601 Middle Fiskville in Austin (TX)
A761366,7610 Cameron Road #2110 in Austin (TX)
A730668,7201 Levander Loop in Austin (TX)
A763394,Chaparral Trail And Palo Blanco Lane in Austin (TX)
A753390,21707 Hog Eye Dr in Manor (TX)
A671114,Loyola Ln And Decker Ln in Austin (TX)
A702329,7004 Shannon Dr in Austin (TX)
A704514,5525 Foxfield Ln in Travis (TX)
A701907,3308 Thompson St in Austin (TX)
A714106,183/Mlk in Travis (TX)
A694904,Austin (TX)
A719632,Anderson Ln And Burnet Rd in Austin (TX)
A721262,Del Valle (TX)
A728229,13908 Tophill Cir in Travis (TX)
A736828,105 W Elliott in Austin (TX)
A731502,Manor (TX)
A703414,Highway 183 And Ih-35 in Austin (TX)
A701868,1398 Harris Ridge Blvd in Austin (TX)
A736450,1715 W Cesar Chavez St in Austin (TX)
A721862,5601 Manchaca Rd in Austin (TX)
A753601,Conestoga And Ponciana in Austin (TX)
A759957,Austin (TX)
A717067,Willow St And Chicon St in Austin (TX)
A697303,Austin (TX)
A749502,120 Maldonado Trl in Travis (TX)
A695799,Austin (TX)
A517675,6902 Deep Cir #A in Austin (TX)
A746787,1003 Mckie Dr in Austin (TX)
A758769,3007 Shoot Out in Travis (TX)
A720961,Austin (TX)
A692518,4106 N Lamar Blvd in Austin (TX)
A554047,3100 Rogge in Austin (TX)
A688710,1211 Bonnie Brae in Austin (TX)
A759869,General Williamson And Geronimo Trail in Austin (TX)
A745842,5701 Johnny Morris Rd in Austin (TX)
A738181,Austin (TX)
A725081,Brodie Ln & Green Emerald Terrace in Austin (TX)
A717086,10000 N Lamar Blvd in Austin (TX)
A734264,10000 Research Blvd in Austin (TX)
A665763,E Riverside Dr/Royal Crest Dr in Austin (TX)
A761425,11904 Garden Gate in Austin (TX)
A711073,Travis (TX)
