intake_year,animal_type,breed,count
2013,Dog,Jack Russell Terrier/Miniature Poodle,1
2013,Dog,Akita/German Shepherd,1
2013,Dog,Australian Shepherd/Rhod Ridgeback,1
2013,Dog,Pit Bull/Australian Cattle Dog,1
2013,Dog,Jack Russell Terrier/Yorkshire Terrier,1
2013,Dog,Chihuahua Shorthair/Jack Russell Terrier,1
2013,Dog,Japanese Chin Mix,1
2013,Dog,Pit Bull/Catahoula,1
2013,Dog,Keeshond Mix,1
2013,Dog,Chihuahua Shorthair/Manchester Terrier,1
2013,Dog,Kuvasz/Labrador Retriever,1
2013,Dog,Pit Bull/German Shepherd,1
2013,Dog,Australian Cattle Dog/Belgian Malinois,1
2013,Dog,Belgian Malinois/Australian Shepherd,1
2013,Dog,Airedale Terrier,1
2013,Dog,Pit Bull/Pug,1
2013,Dog,American Staffordshire Terrier/Pit Bull,1
2013,Dog,Chihuahua Shorthair/Papillon,1
2013,Dog,Labrador Retriever/Australian Kelpie,1
2013,Dog,Plott Hound/Black/Tan Hound,1
2013,Dog,Labrador Retriever/Australian Shepherd,1
2013,Dog,Plott Hound/Pit Bull,1
2013,Dog,Bruss Griffon/Maltese,1
2013,Dog,American Pit Bull Terrier,1
2013,Dog,Bull Terrier Miniature Mix,1
2013,Dog,Chihuahua Shorthair/Whippet,1
2013,Dog,Labrador Retriever/Beauceron,1
2013,Dog,Pointer/Collie Smooth,1
2013,Dog,American Bulldog/Pointer,1
2013,Dog,Chinese Sharpei,1
2013,Dog,Bulldog/Australian Cattle Dog,1
2013,Dog,Chinese Sharpei/Border Collie,1
2013,Dog,Labrador Retriever/Boston Terrier,1
2013,Dog,Port Water Dog Mix,1
2013,Dog,Basset Hound/Australian Cattle Dog,1
2013,Dog,Chow Chow,1
2013,Dog,Basset Hound/Australian Shepherd,1
2013,Dog,Pug/Chihuahua Shorthair,1
2013,Dog,Anatol Shepherd/Collie Rough,1
2013,Dog,Rat Terrier,1
2013,Dog,Labrador Retriever/Collie Smooth,1
2013,Dog,Rat Terrier/Australian Cattle Dog,1
2013,Dog,Labrador Retriever/Dachshund,1
2013,Dog,Rat Terrier/Pit Bull,1
2013,Dog,Labrador Retriever/Flat Coat Retriever,1
2013,Dog,Redbone Hound,1
2013,Dog,Australian Cattle Dog/English Coonhound,1
2013,Dog,Redbone Hound/Boxer,1
2013,Dog,Canaan Dog/Pit Bull,1
2013,Dog,Rhod Ridgeback,1
2013,Dog,Cane Corso Mix,1
2013,Dog,Rhod Ridgeback/Pit Bull,1
2013,Dog,Labrador Retriever/Greyhound,1
2013,Dog,Cocker Spaniel/Miniature Poodle,1
2013,Dog,Labrador Retriever/Jack Russell Terrier,1
2013,Dog,Collie Rough/Australian Cattle Dog,1
2013,Dog,Beagle/American Staffordshire Terrier,1
2013,Dog,Scottish Terrier Mix,1
2013,Dog,Labrador Retriever/Rhod Ridgeback,1
2013,Dog,Black/Tan Hound/Labrador Retriever,1
2013,Dog,Cardigan Welsh Corgi/Australian Cattle Dog,1
2013,Dog,Shetland Sheepdog/Italian Greyhound,1
2013,Dog,Cardigan Welsh Corgi/Australian Kelpie,1
2013,Dog,Collie Smooth/Golden Retriever,1
2013,Dog,Cardigan Welsh Corgi/Beagle,1
2013,Dog,Shih Tzu/Affenpinscher,1
2013,Dog,Landseer Mix,1
2013,Dog,Shih Tzu/Havanese,1
2013,Dog,Beagle/Boxer,1
2013,Dog,Collie Smooth/Labrador Retriever,1
2013,Dog,Cardigan Welsh Corgi/Pit Bull,1
2013,Dog,Australian Kelpie/Chinese Sharpei,1
2013,Dog,Lhasa Apso/Miniature Poodle,1
2013,Dog,Dachshund Longhair/Chihuahua Shorthair,1
2013,Dog,Maltese,1
2013,Dog,Blue Lacy/Great Dane,1
2013,Dog,Cardigan Welsh Corgi/Rat Terrier,1
2013,Dog,Soft Coated Wheaten Terrier/Yorkshire Terrier,1
2013,Dog,Beagle/Chihuahua Longhair,1
2013,Dog,Staffordshire,1
2013,Dog,Maltese/Papillon,1
2013,Dog,Staffordshire/Beagle,1
2013,Dog,Catahoula,1
2013,Dog,Standard Poodle,1
2013,Dog,Alaskan Malamute Mix,1
2013,Dog,Standard Schnauzer,1
2013,Dog,Mastiff/Dutch Shepherd,1
2013,Dog,Swedish Vallhund Mix,1
2013,Dog,Mastiff/Pit Bull,1
2013,Dog,Toy Poodle,1
2013,Dog,Catahoula/Alaskan Husky,1
2013,Dog,Toy Poodle/Miniature Schnauzer,1
2013,Dog,Beagle/Cocker Spaniel,1
